row	col	value
1	1	-7
1	2	-6
1	3	-4
1	4	0
1	5	-5
1	6	-4
1	7	-4
1	8	-1
2	1	5
2	2	-5
2	3	9
2	4	9
2	5	-5
2	6	-4
2	7	-4
2	8	-1
3	1	-7
3	2	-5
3	3	-5
3	4	-4
3	5	-4
3	6	-3
3	7	-3
3	8	0
4	1	9
4	2	9
4	3	-5
4	4	-5
4	5	9
4	6	0
4	7	-4
4	8	-1
5	1	3
5	2	1
5	3	3
5	4	-4
5	5	0
5	6	2
5	7	1
5	8	1
6	1	-3
6	2	-4
6	3	0
6	4	-4
6	5	-3
6	6	-3
6	7	3
6	8	-1
7	1	-1
7	2	9
7	3	-6
7	4	-5
7	5	0
7	6	-4
7	7	-4
7	8	-1
8	1	-7
8	2	-6
8	3	-4
8	4	0
8	5	-5
8	6	-4
8	7	-3
8	8	-1
9	1	8
9	2	-6
9	3	-6
9	4	-5
9	5	-5
9	6	-4
9	7	-4
9	8	-1
10	1	9
10	2	9
10	3	-1
10	4	1
10	5	9
10	6	4
10	7	7
10	8	0
11	1	-3
11	2	0
11	3	-2
11	4	-4
11	5	-2
11	6	-2
11	7	-3
11	8	0
12	1	8
12	2	0
12	3	6
12	4	-3
12	5	7
12	6	8
12	7	2
12	8	1
13	1	-4
13	2	4
13	3	-5
13	4	-4
13	5	-2
13	6	-4
13	7	-3
13	8	0
14	1	9
14	2	0
14	3	1
14	4	-5
14	5	9
14	6	-4
14	7	-4
14	8	-1
15	1	-3
15	2	-1
15	3	0
15	4	5
15	5	-4
15	6	-4
15	7	-4
15	8	-1
16	1	8
16	2	-2
16	3	7
16	4	7
16	5	7
16	6	8
16	7	3
16	8	0
17	1	8
17	2	-2
17	3	0
17	4	0
17	5	9
17	6	9
17	7	2
17	8	0
18	1	6
18	2	0
18	3	8
18	4	9
18	5	1
18	6	0
18	7	6
18	8	0
19	1	9
19	2	9
19	3	0
19	4	-5
19	5	9
19	6	-4
19	7	-4
19	8	-1
20	1	9
20	2	9
20	3	0
20	4	-1
20	5	9
20	6	1
20	7	-4
20	8	-1
21	1	-5
21	2	-6
21	3	0
21	4	-5
21	5	-5
21	6	-4
21	7	-4
21	8	-1
22	1	-6
22	2	-6
22	3	-3
22	4	0
22	5	-5
22	6	-4
22	7	-4
22	8	-1
23	1	-4
23	2	-6
23	3	-3
23	4	-2
23	5	-2
23	6	-1
23	7	6
23	8	9
24	1	-2
24	2	9
24	3	-6
24	4	-5
24	5	-2
24	6	-4
24	7	-4
24	8	-1
25	1	-5
25	2	9
25	3	-6
25	4	-5
25	5	-4
25	6	-4
25	7	-4
25	8	-1
26	1	-1
26	2	5
26	3	-2
26	4	-4
26	5	-1
26	6	-2
26	7	-2
26	8	-1
27	1	-2
27	2	-5
27	3	3
27	4	-5
27	5	-5
27	6	-4
27	7	-4
27	8	-1
28	1	1
28	2	-1
28	3	1
28	4	-4
28	5	1
28	6	1
28	7	0
28	8	0
29	1	-6
29	2	-1
29	3	-5
29	4	-3
29	5	-3
29	6	-2
29	7	-4
29	8	-1
30	1	6
30	2	9
30	3	-6
30	4	-5
30	5	8
30	6	9
30	7	-1
30	8	0
31	1	-5
31	2	9
31	3	-6
31	4	-5
31	5	-4
31	6	-4
31	7	-4
31	8	-1
32	1	9
32	2	-6
32	3	-6
32	4	-5
32	5	9
32	6	8
32	7	-4
32	8	-1
