Pepsi, Nouveau goût !
Curiously Quality Strong Mints
Velouté de légumes
Amandino blanches
4 stonebread garlic breads
British Maris Piper just bake chips
Saumon Atlantique Fumé
Jus de pommes et de mangues pressé non à base de concentré
Black Olive crackers
Honey Roasted Cashews & Peanuts
Chicken Tikka Masala & Pilau Rice
croustillant goût fromage
filets de cabillaud légèrement panés de farine assaisonnée
Turrón blando calidad suprema
Boisson au soja
Chocolate Chunk, Milk Chocolate Macadamia
Chocolate CHUNK white chocolate macadamia
Oatmeal Raisin
Pistachios
Pistaches grillées sans sel Wonderful
Vinaigre basalmique bio
Foco basil seed drink
Pate de curry vert
Thon fumé
Filet mignon de porc surgelé Picard
Casino filet de merlan pané
Marpom's fraise
16 Mini Blinis
Fromage Frais nature
Comté AOP Bio Carrefour
2 Pavés Grand Cru
Huile d'Olive Vierge Extra Classico
