Id,product_name,categories_tags
78,Margarine OmÃ©ga 3,"en:margarines,en:fats,en:vegetable-fats"
79,VeloutÃ© de lÃ©gumes Saveurs du Sud,"fr:soupes-de-legumes,en:soups,en:meals"
80,Bonbons goÃ»t fruit,"fr:bonbons,en:candies"
81,Filets de maquereaux Ã  la moutarde,"fr:filets-de-maquereaux,en:seafood,fr:maquereaux,en:fishes"
82,SablÃ©s ApÃ©ritif au parmesan et aux graines de moutarde,fr:aperitif
83,CrÃ¨me aux oeufs saveur Vanille NETTO,
84,prince - chocolat blanc,en:biscuits
85,Oranges PressÃ©es,"en:fruit-juices,en:beverages,en:fruit-juices-and-nectars,en:concentrated-orange-juices,en:concentrated-fruit-juices,en:orange-juices"
86,PrÃªt Ã  cuisiner Ã  la bolognaise,en:meats
87,Sirop d'Ã©rable pur biologique Escuminac,en:maple-syrups
88,vÃ©ritable Jambon PersillÃ© de Bourgogne,"fr:jambons-blancs,fr:charcuteries-diverses,fr:grattons,en:hams,en:meats,en:prepared-meats"
89,Best Stawberry-cheesecake,"fr:batonnets,en:ice-creams,en:frozen-foods,en:ice-creams-and-sorbets"
90,Brasserie burger,"fr:pains-burger,fr:pains-speciaux,en:breads"
91,Crumpets,"fr:crepes,fr:crepes-et-galettes,en:breakfasts"
92,palmier pur beurre,"fr:biscuits-feuilletes,fr:palmiers-biscuits,en:biscuits"
93,Best vanille/Amande/Caramel au beurre salÃ©,"fr:batonnets,en:ice-creams,en:frozen-foods,en:ice-creams-and-sorbets,fr:batonnets-a-la-vanille"
94,Pomme dauphine,"en:frozen-foods,fr:plats-cuisines-surgeles,fr:pomme-dauphine"
95,Sushi Maki KawaÃ¯,"en:frozen-foods,en:meals"
96,Le p'tit-beurre tablette,"fr:petits-beurres,en:cakes,en:biscuits"
97,Coeurs d'artichauts,"fr:legumes-en-conserve,en:vegetables,en:canned-foods,fr:artichauts-en-conserve,fr:coeurs-d-artichauts"
98,Frucci citron,"en:beverages,fr:produit-pour-usage-culinaire,fr:sirops"
99,PurÃ©e de fruits Bio,"fr:compotes,en:desserts"
100,Fruite Maxi Orange,"en:fruit-juices,en:beverages,en:fruit-juices-and-nectars,en:concentrated-orange-juices,en:concentrated-fruit-juices,en:orange-juices"
101,Petits Dej',"fr:mueslis,fr:cereales-pour-petit-dejeuner,en:breakfasts,fr:gateaux-pour-le-petit-dejeuner"
102,ApÃ©rivrais saveurs provenÃ§ales - poivrons - thym - ciboulette,"en:cow-cheeses,en:cheeses,en:dairies,fr:fromages-pasteurises"
103,Coca Cola,"en:beverages,en:sodas,en:carbonated-drinks"
104,Huile d'olive vierge extra - CrÃ¨te - 2012,"en:vegetable-oils,en:fats,en:vegetable-fats,en:olive-oils"
105,Orangina,"en:beverages,en:fruit-sodas,en:sodas,en:carbonated-drinks"
106,Cocktail de noix nobles,"fr:cacahuetes,fr:aperitif"
107,KFC Mayonnaise,"fr:mayonnaises,en:groceries,fr:sauces,fr:supplements,fr:supplements-fastfoods"
108,Chocoleca,"fr:pates-a-tartiner,en:spreads,en:sweet-spreads,en:breakfasts"
109,Chocopain,"fr:pates-a-tartiner,en:spreads,en:sweet-spreads,en:breakfasts"
110,Corn Flakes,"fr:corn-flakes,en:cereals,fr:cereales-pour-petit-dejeuner,en:breakfasts"
111,ADJA,"en:margarines,en:fats,en:vegetable-fats"
112,Corn Flakes,"fr:cereales-pour-petit-dejeuner,en:breakfasts"
113,Ciabatta rustica schar sans gluten,"fr:pains-sans-gluten,en:breads,en:products-without-gluten"
114,Yaourt chocolat,"en:yogurts,en:chocolates,en:dairies,en:candies"
115,Bifidus brassÃ© aux fruits Dia,"en:yogurts,en:dairies"
116,Nesquik,"fr:chocolats-en-poudre,en:chocolates,en:candies,en:breakfasts"
117,BlÃ©dine MulticÃ©rÃ©ales,"en:baby-foods,fr:cereales-pour-bebe"
118,Capellini n.1,en:pastas
119,CrÃ¨me fraiche Ã©paisse entiÃ¨re,"en:creams,en:dairies,fr:cremes-fraiches"
120,lacti pause nature sucrÃ©,"en:drinkable-yogurts,en:yogurts,en:dairies"
121,Sibell Chips Saveur Truffe,"en:chips-and-fries,fr:chips,fr:aperitif"
122,Nutella (780g),"fr:pates-a-tartiner,fr:pates-a-tartiner-aux-noisettes,en:spreads,en:sweet-spreads,en:breakfasts"
123,le gÃ¢teau Caramel,en:cakes
124,Milka Tuc,"en:chocolates,en:candies"
125,Granola,en:biscuits
126,BÃ‚TON DE FROMAGE - LE TYPE,"en:cheeses,en:dairies,fr:pate-molle"
127,Lait demi-Ã©crÃ©mÃ©,"fr:laits-demi-ecremes,en:dairies,en:milks"
128,Sauce salade,"fr:sauces-salades,en:groceries,fr:sauces"
129,ThÃ© au citron Lipton Klix,"fr:thes-au-citron,en:herbal-teas,en:beverages,en:teas,en:hot-drinks"
130,Jus de pomme,"en:fruit-juices,en:beverages,en:fruit-juices-and-nectars,en:apple-juices"
131,Palets Bretons,en:biscuits
132,Grenadine 0% sucre,"en:beverages,fr:sirops-de-grenadine,fr:sirops"
133,Lait Lactel,"en:milks,en:dairies"
134,Matin lÃ©ger,"en:milks,en:dairies"
135,Lait Entier Bridel,"en:milks,en:dairies"
136,Lait de France,"en:milks,en:dairies"
137,Lait entier PrÃ©sident,"en:milks,en:dairies"
138,Mini Yop goÃ»t fraise,"en:drinkable-yogurts,en:yogurts,en:dairies"
139,SuprÃªme Chicken Bacon,"fr:hamburgers,en:sandwiches"
140,Frite moyenne,"fr:frites,en:chips-and-fries"
141,Cheeseburger,"en:sandwiches,fr:cheeseburger"
142,Hamburger,"fr:hamburgers,en:sandwiches"
143,Parmentier de canard et de patate douce,
144,Chicken McNuggets (20 morceaux),fr:beignets-de-poulet
145,P'tit Wrap Ranch,"fr:wrap,en:sandwiches"
146,P'tites tomates,en:tomatoes
147,Salade CÃ¦sar au poulet croustillant *,"fr:salades-composees,en:meals"
148,petits pois tres fins et jeunes carottes ,fr:legumes-verts
149,actimel gout fraise,"en:yogurts,en:dairies,en:drinkable-yogurts,fr:yaourts-liquides"
150,nestle ,"en:desserts,en:chocolate-desserts,fr:mousses-au-chocolat"
151,yaourt vanille ,"en:yogurts,en:dairies"
152,hot sauce de heinz,"en:groceries,en:condiments,fr:rehausseur-de-gout"
153,15 BÃ¢tonnets de poisson,"fr:poissons-panes,en:seafood,en:breaded-products,fr:colins,en:fishes,en:meals"
154,Farine de blÃ©,en:flours
155,Tomates pelÃ©es en morceaux Nostia,"fr:tomates-pelees,en:tomatoes"
156,Tartines craquantes au froment,"fr:biscottes,en:breads"
157,4 Muffins cacao avec pÃ©pites de chocolat,"en:cakes,fr:gateaux-au-chocolat,fr:muffins"
158,Jus d'orange,"en:fruit-juices,en:beverages,en:fruit-juices-and-nectars,en:concentrated-orange-juices,en:concentrated-fruit-juices,en:orange-juices"
159,Fruitdrank met sinassappelsap,
160,Jus de pomme Vitafit,fr:jus-a-base-de-concentre
161,Linessa,
162,Dufaure & Fils dÃ©s de jambon,"en:meats,en:prepared-meats"
163,Vitafit Cocktail tropical,"en:fruit-juices,en:beverages,en:fruit-juices-and-nectars"
164,sirop de cassis,"en:beverages,fr:sirops-de-cassis,fr:sirops"
165,Yaourt sucrÃ© aromatisÃ© Milbona Kids,"en:dairies,fr:yaourt-surce"
166,Saint Alby jambon supÃ©rieur avec couenne,"fr:jambons-blancs,en:hams,en:meats,en:prepared-meats"
167,Lardons fumÃ©s qualitÃ© supÃ©rieure au bois de hÃªtre,"fr:lardons,fr:charcuteries-diverses,en:meats,fr:lardons-fumes,en:prepared-meats"
168,2 steaks hachÃ©s 100 % pur boeuf &quot;L'Ã©tal du boucher&quot;,"en:meats,fr:steak-hache-frais"
169,6 paupiettes de porc,fr:paupiettes-de-porc
170,Tartelettes,"fr:biscuits-a-la-fraise,en:biscuits"
171,Noir dessert ,"en:chocolates,en:candies"
172,Compote pomme banane ,"fr:compotes,en:desserts"
173,Freeway cola,
174,Freeway Cola,"en:beverages,fr:sodas-au-cola,en:sodas,en:carbonated-drinks"
175,Salsa Di Pomodoro,"en:groceries,fr:sauces,fr:sauces-tomate"
176,Pur jus de pomme ,"en:squeezed-juices,en:fruit-juices,en:beverages,en:fruit-juices-and-nectars,en:apple-juices"
177,Olives vertes,"en:vegetables,en:green-olives,en:olives,en:pickled-vegetables,en:green-pitted-olives,en:pitted-olives,en:pickles"
178,Vollmilch schokolade am Stiel,
179,"Lait entier 3,5 % de mat.gr Milbona","fr:laits-entiers,en:milks,en:dairies"
180,Sauce tomate aux olives Combino,"en:groceries,fr:sauces,fr:sauces-tomate"
181,RACLETTE EN TRANCHES,"en:cheeses,en:dairies"
182,Yaourt abricot Milbona,"en:yogurts,en:dairies,en:fruit-yogurts"
183,Freeway limonade,"fr:limonades,en:sodas,en:beverages,en:carbonated-drinks"
